video,summary
B0468.10,"Monkeys and baboons are walking, standing, and sitting on top of rocks and hills."
B0765.5,The baboon is sitting on a tree branch.
B0911.26,The monkey sat on various rocks in different locations.
B0248.1,"The wildebeest, kangaroos, and baboons are walking through the desert."
B0762.32,"The animals are standing, sitting, and perching in trees, including elephants, giraffes, and monkeys, in various locations such as the desert and the wild."
B0629.3,"The bears and animals are standing, sitting, and climbing on rocks and cliffs."
B0696.3,"The monkeys are climbing, sitting, and perching in the trees, while the elephants, lions, leopards, and giraffes are also present, standing or sitting in the trees."
B0765.56,The baboon is sitting on a tree branch.
B0172.9,"Animals, including birds, bears, and a mountain lion, are sitting on top of rocks in various environments, such as deserts, forests, and woods."
B0793.3,Baboons sit in trees.
B0687.63,"The baboons are sitting in, on, and around the trees."
B1037.37,"The bears stand, sit, and climb on cliffs and rocks."
B0530.3,The baboons and monkeys are sitting on the rocks.
B0974.24,"Monkeys and birds are sitting, standing, and perching on rocks and cliffs."
B0655.61,"Animals of various species, including monkeys, elephants, lions, giraffes, leopards, and baboons, are sitting in trees in different locations such as hills, deserts, forests, and near rocks."
B0975.28,Monkeys and baboons sit and stand on rocks and cliffs.
B0780.31,"Monkeys, elephants, leopards, giraffes, and baboons sit, stand, and sit in trees in various environments."
B0741.21,Baboons sit on and in tree branches in both the wild and desert.
B0726.13,"The animals, including monkeys, bears, elephants, and a lion, are sitting on or in trees."
B0783.20,"Animals, including baboons, monkeys, and a leopard, are sitting in or on top of trees."
B0788.18,"The animals, including monkeys, baboons, elephants, and giraffes, are sitting in the trees."
B0304.1,"Animals are walking, standing, sitting, and laying on the ground, hills, and in the desert."
B0678.32,"The animals are grazing, eating from trees, walking, standing, and standing next to trees in their natural habitats."
B0775.40,The baboons are sitting in the trees.
B1013.13,Monkeys and baboons are sitting on rocks.
B0899.27,"Animals are sitting, standing, and resting on and next to rocks in the river."
B0721.3,"The baboons sit, lay, and rest on various surfaces, including tree branches, the ground, and grass."
B0081.13,"Baboons are sitting in trees, eating, and resting in various locations."
B0784.7,Baboons and monkeys sit on top of trees.
B0996.36,Monkeys and baboons are sitting and standing on rocks and cliffs.
B0397.6,The baboons and monkeys are sitting on the rocks.
B0725.34,"The animals are sitting on or in trees, with elephants, monkeys, and baboons all perching on treetops or branches."
B0661.43,"Baboons and monkeys sit in trees, perching on branches and leaves."
B0996.51,"Monkeys and baboons are standing, sitting, and perching on rocks and cliffs."
B1021.39,"The animals are standing, sitting, climbing, and perching on rocks and cliffs."
B0699.9,"The animals are sitting, standing, or perching in various locations, including trees, fields, and hills."
B1051.27,"Monkeys are sitting and climbing on cliffs and rocks, while bears and people are standing or sitting on them as well."
B0741.34,"The baboons and hyenas are sitting, standing, and perching on trees, rocks, and branches in various environments, including the desert and wild."
B0652.46,"Monkeys and other animals (baboon, elephant, giraffe) sit or stand in trees in the wild."
B0736.20,"Animals, including elephants and baboons, are sitting in trees."
B0724.10,"Animals are sitting in and on trees, including monkeys, elephants, and baboons, with various body parts sticking out or resting in the branches."
B0052.13,"Animals, including birds, elephants, baboons, and monkeys, are sitting on or in trees in the wild."
B0620.9,The monkeys and baboons are sitting on the cliffs and rocks.
B0780.10,"Monkeys, leopards, bears, and other animals are sitting in trees in various locations, including forests, deserts, and the wild."
B0230.5,Monkeys and other animals walk through the desert.
B0391.12,"Animals, including monkeys, baboons, and a bird, are climbing, sitting, and hiding on and around rocks and cliffs."
B0815.29,"The monkeys and elephants are sitting in trees, with some monkeys and elephants sitting on branches and others standing in the middle of trees."
B0532.4,"Animals are standing and sitting on top of rocks, hills, and mountains."
B0862.6,"The animals are sitting, standing, or perching on various surfaces, including rocks, logs, tree trunks, and stumps, in and around the water."
B0881.33,"Animals are seen sitting, standing, walking, and laying on rocks, in the water, and on the ground, with some species, such as monkeys and bears, being depicted in aerial views."
B0195.13,"The plants grow on and sit on the rocks in the river and stream, while a lizard sits on a rock in the water."
B0791.58,"Animals (monkeys, baboons, and koalas) are sitting in trees in various locations, including the desert, forest, and wild."
B0769.24,The animals are sitting and lying in tree branches.
B0526.5,"The monkeys and baboons are sitting, standing, and perching on various rocks and mountains."
B0224.16,The birds are walking in the desert.
B0715.11,The baboons are sitting in the branches of a tree.
B0815.25,"The animals, including monkeys, elephants, giraffes, leopards, and lions, are sitting, laying, or standing in trees, with some sticking out their trunks or heads, while others sit on branches or tops of trees."
B0698.39,"The animals, including lions, giraffes, elephants, monkeys, birds, and hyenas, are climbing, standing, sitting, and lying in trees."
B0816.34,"The monkeys and elephants are sitting in trees, with some standing and others sitting on branches, in both the forest and the wild."
B0643.48,The baboons are sitting in the trees.
B0695.6,"The baboons and monkeys sit in trees, on branches, and with each other."
B1035.38,"The bears and monkeys are sitting, standing, and perching on cliffs and rocks."
B0248.16,"The animals, including kangaroos, baboons, wildebeest, monkeys, and birds, are walking through the desert and across dirt fields and roads."
B0996.34,"Monkeys and baboons are sitting, standing, and perching on rocks and cliffs."
B0755.6,The baboons sit in and on trees in the wild.
B0814.17,"The baboons are sitting in or on the trees, eating leaves and branches."
B0781.8,"Wild animals, including elephants, monkeys, lions, leopards, giraffes, koalas, and birds, are seen sitting in trees at various times of day and night."
B0302.3,"The animals, including monkeys, baboons, kangaroos, birds, and elephants, are walking on the ground in the desert."
B0807.19,"Monkeys are sitting in trees in various locations, including near people, rivers, dirt roads, deserts, forests, and zoos, while an elephant and a giraffe are standing in fields and trees."
B0737.12,"The baboons are standing, sitting, and climbing trees."
B0663.48,"The animals are sitting, standing, and perching on top of trees, hills, and in fields."
B1004.30,Monkeys and baboons are sitting and standing on top of rocks and cliffs.
B0964.5,"The animals, including baboons, monkeys, and birds, are standing, sitting, and drinking water from rocks, ledges, water holes, and streams."
B0043.5,"The baboons are standing, sitting, and perching on various surfaces such as trees, hills, and grass."
B0372.12,The monkeys are sitting on the edge of a cliff.
B0481.10,"The baboons are sitting, standing, and perching on various hills."
B0751.32,"The animals are standing, sitting, and perching in various locations, including trees and forests."
B0935.4,"The baboons and monkeys are climbing, sitting, and standing on rocks and cliffs."
B0712.24,Baboons sit on tree branches in both the desert and the wild.
B0653.53,The baboons are sitting in/around the tree branches.
B0745.14,"The monkeys, baboons, and lions are sitting in, on, and around trees."
B0381.3,"The animals are sitting, standing, and perching on various rocks, cliffs, and trees, while also occupying holes and branches."
B0870.1,"The animals, including bears, monkeys, and baboons, are seen standing, sitting, walking, climbing, and sitting on rocks in various settings, both in the wild and in zoos."
B1012.8,Monkeys and other animals are standing and sitting on cliffs and rocks.
B0805.54,"Animals such as bears, elephants, lions, and giraffes are standing in or on trees, while others, like chainsaws, are cutting them down."
B1048.40,"The animals, including monkeys, bears, lions, penguins, elephants, and a mountain lion, are climbing up rocks, walls, and cliffs."
B0941.18,"The baboons sit, stand, and gather around water sources, such as rocks, hillsides, and water holes."
B0661.42,The baboons and a bird are sitting in trees.
B0677.43,"Elephants, giraffes, baboons, and gorillas are seen standing, sitting, and roaming in trees and groups in the wild."
B0639.26,The baboon is sitting on top of a tree branch.
B0785.1,The baboons sit on tree branches in the desert.
B0676.40,"Monkeys, birds, and baboons sit in and on trees, both in the wild and in various locations."
B0310.4,"The baboons and monkeys are walking on the ground in the desert, often seen walking on dirt roads, fields, and near rocks."
B0644.58,The baboons and chimpanzees are sitting in the trees.
B0557.9,"Animals such as monkeys, cats, and a baboon are walking, standing, and sitting on the ground, roads, and fields."
B0991.2,"Bears stand, sit, and sit on top of cliffs and rocks."
B0737.23,"The baboons are sitting on top of, in, and on branches of trees."
B0721.38,Baboons are sitting on branches.
B0968.19,"Monkeys and other animals are climbing up cliffs, rocks, and mountains."
B1052.41,"The bears, monkeys, and birds are sitting and standing on top of rocks."
B0416.2,"The monkeys and bears are sitting, standing, and walking on rocks."
B0793.63,"Monkeys and giraffes sit and stand in trees in the wild, in forests and deserts."
B0697.17,"The animals, including giraffes, monkeys, leopards, and lions, are climbing, sitting, and hanging in trees, while others are cutting branches and falling over."
B0688.24,The baboons and monkeys are sitting in the trees.
B0732.26,The baboons are sitting in the trees.
B0950.20,"The baboons are drinking water from various sources, including pools, ponds, and water holes, and are also sitting and standing around these areas."
B0643.2,The baboons are sitting.
B0663.23,"The animals, including monkeys, lions, wildebeest, zebras, elephants, giraffes, and baboons, are sitting or standing in trees, on hills, or in bushes."
B1000.62,"The animals, including bears, monkeys, owls, and birds, are standing, sitting, and perching on rocks and cliffs."
B0455.13,"Monkeys and baboons are standing, sitting, walking, and standing on hills, rocks, and fields."
B0456.3,"Baboons are walking on the ground near trees, bushes, and fields."
B1032.31,"The animals are sitting, standing, and perching on the edge or top of the cliff."
B0614.2,The monkeys are climbing.
B0730.16,"The animals, including elephants, baboons, monkeys, and giraffes, are standing, sitting, walking, and roaming through trees, hills, and bushes in their natural habitats."
B1025.14,"Monkeys and bears are climbing up rocks and cliffs, while penguins and birds are standing on top of rocks."
B0165.2,"The animals are standing, sitting, walking, and crossing the water, as well as standing on and next to rocks in the river."
B0223.13,"The animals, including kangaroos, baboons, monkeys, and birds, walk across the desert."
B0812.39,The baboons and monkeys are sitting in and on the branches of the trees.
B0798.16,"The baboons are sitting in trees, on the ground, and in bushes, while the gorilla is sitting on a tree and the elephant is sitting on a tree."
B0914.26,"The baboons are sitting, standing, and eating on the rocks and ground, often in the company of other animals."
B0727.6,"The animals are sitting in or on trees, perched on branches, or on top of hills."
B0651.59,"Animals, including monkeys, baboons, elephants, and a giraffe, are sitting in or standing in trees."
B0658.58,"The baboons are seen sitting, standing, playing, fighting, and roaming in and around trees, as well as on the ground, with their babies and other animals."
B0661.3,"Animals sit in trees in various locations, including savannahs, hillsides, and forests."
B0931.25,"The monkeys and baboons are standing on, walking on, and standing on top of the rocks."
B0666.8,Monkeys and animals are sitting on top of trees and a hill.
B0974.42,"Monkeys and baboons are standing, sitting, and perching on rocks and cliffs."
B0758.1,The baboons are sitting in and on trees.
B0558.12,"The animals are hiding, roaming, and living in the grass, woods, and wild."
B0645.3,The baboons sit on tree branches in the wild and desert.
B1006.4,The monkeys and birds are sitting on or standing on top of rocks and cliffs.
B0999.44,"Monkeys and baboons are climbing, sitting, and standing on rocks and cliffs."
B0953.22,The baboons are walking and standing on rocks and hillsides.
B0655.14,"Animals, including lions, monkeys, baboons, giraffes, and elephants, are sitting in trees."
B0751.19,"Elephants, giraffes, bears, lions, and leopards are standing and sitting in trees and on hillside."
B0384.13,"Monkeys and bears are climbing and hanging from tree branches on and around rock walls, while a bird sits on top of a rock."
B0648.16,"The monkeys and baboons are sitting and standing on top of, in, and near trees, branches, and the ground."
B0730.38,"The animals are sitting, standing, and perching on trees, hills, fields, and piles of branches."
B0577.9,"Monkeys, bears, and a squirrel are climbing up rocks and cliffs."
B0766.56,The baboon is sitting on top of a tree/hill.
B0868.10,"The animals, including monkeys, bears, birds, and a cat, are climbing, sitting, and standing on rocks and in the water."
B0041.2,The baboons sat on top of a hill.
B0800.57,The baboons are sitting in and on various parts of trees.
B0032.3,"The animals are seen walking on the ground, on a dirt road, and in the desert."
B1020.33,"Monkeys and baboons are sitting and standing on various rocky surfaces, including cliffs and rocks."
B0344.1,"The animals are standing, sitting, walking, and hiding in various locations, including brush, hills, rocks, trees, and deserts."
B0247.2,"The animals, including giraffes, elephants, monkeys, and wildebeest, roam freely in the desert, walking, standing, and grazing on the ground."
B0635.28,Baboons sit and perch on top of trees.
B0808.7,"The animals are sitting, climbing, and standing in the trees, branches, and bushes."
B0402.8,The monkeys and small animals are sitting on the rocks.
B0712.7,The baboon sits on a tree branch in the wild and in the desert.
B0794.53,Monkeys and an elephant sit in trees in the desert and wild.
B0730.1,"Elephants are standing, sitting, and walking on trees, hills, and through brush."
B0837.5,"The animals are standing on or sitting on rocks in the water, with some birds and monkeys also present."
B0746.5,"The animals are sitting and standing in trees, with monkeys, giraffes, leopards, lions, and an elephant all found in or on trees."
B0644.41,Baboons are sitting in the trees.
B0647.24,The baboons are sitting on top of hills and trees.
B0994.42,The monkeys and baboons are sitting on the rocks.
B0773.11,Baboons and a gorilla sit on top of tree branches.
B0458.12,"The baboons are standing, sitting, walking, and playing on the ground and on top of hills and rocks."
B1003.36,"The animals are standing, sitting, climbing, and standing on top of rocks, cliffs, and caves."
B1025.16,"Animals, including bears, monkeys, baboons, and birds, are climbing, standing, and sitting on rocks, cliffs, and rock walls."
B0775.49,The baboons are sitting in trees and on tree branches.
B1050.23,"The monkeys are climbing, standing, and sitting on the cliffs and rocks, while a bear is also standing on top of a cliff and a rock."
B0708.35,Monkeys and baboons are sitting in and on top of trees.
B0753.17,"The baboons and gorillas are sitting in and on the trees, looking at each other."
B0993.40,"The animals, including sea lions, birds, monkeys, and seals, climbed up rocks and cliffs."
B0715.26,The baboons are sitting in or on the branches of a tree.
B0602.3,Baboons and monkeys are sitting on the rocks.
B0967.14,The birds and monkeys are sitting and perching on cliffs and rocks.
B0408.2,"The animals are laying, sitting, and resting on rocks, hillsides, and the ground."
B0829.15,"Animals, including turtles, sit on and in the water next to rocks."
B0689.32,The baboons are sitting.
B0767.27,"Baboons are sitting on various surfaces, including trees, hills, and the ground."
B0804.9,"The animals (monkeys, elephants, bears, giraffes) sit in or on trees in the desert."
B0951.22,"The baboons and other animals are standing, drinking, and gathering around water sources on and near the rocks."
B0042.8,"The baboons sit, stand, and gather on the ground and in the brush and grass."
B0667.61,"Animals, including monkeys, baboons, giraffes, lions, elephants, and a brown bear, are sitting in or on trees."
B0311.10,"The animals, including kangaroos, baboons, monkeys, and wildebeest, are walking through the desert."
B0809.5,"Animals such as giraffes, monkeys, baboons, elephants, lions, and leopards are sitting or standing in trees in the wild."
B0695.49,The baboons are sitting in the trees.
B0795.26,The animals are sitting in or on tree branches.
B0933.7,"The baboons stand on various rocky surfaces, including hillsides, mountains, and near water."
B0739.12,"The birds, monkeys, and baboons sit or perch on top of trees and branches in the wild."
B0949.21,Baboons are standing or sitting on various rocks.
B0041.12,The baboons are sitting.
B0644.47,The monkeys and baboons are sitting in the trees.
B0709.37,Baboons are sitting in various locations on or in trees.
B0021.12,"The bears and birds are standing, sitting, and standing in the water on rocks."
B0370.9,"Bears are sitting, hiding, and perching on various rocks."
B0706.16,The baboons are sitting on tree branches.
B0735.6,"The animals are sitting in trees, with monkeys, elephants, lions, and a leopard all occupying branches and trunks."
B0967.20,Monkeys and baboons sit on cliffs and rocks.
B0789.36,"The giraffe, leopard, and monkeys are sitting or standing in trees in the desert."
B1031.53,"Monkeys are climbing up cliffs and rocks, while also sitting on top of them."
B0934.14,"The baboons and monkeys are gathering, drinking, and standing around water holes and rocks."
B0811.63,"The monkeys, baboons, and a giraffe sit in trees in various locations, including forests, deserts, and the wild."
B0924.20,"The monkeys and baboons sit on rocks and the ground, standing on top of the rocks as well."
B0667.20,"Wild animals, including bears, monkeys, baboons, and elephants, are sitting in or on trees."
B0874.8,"Monkeys, birds, bears, and frogs are seen standing, sitting, and climbing on rocks, as well as wading in water and perching on rocks in various environments, including fields, deserts, rivers, and streams."
B0648.38,"The baboon is sitting in various locations, including trees, branches, and rocks, often eating or looking at something."
B0689.53,"The baboons and monkeys sit on tree branches, perched on top of trees, and rest in trees in the wild."
B0752.36,"Baboons are standing, sitting, and walking in and around trees, rocks, and hillsides, while a lion and a monkey also make appearances."
B0275.5,"The animals, including baboons, monkeys, and kangaroos, walk across the desert and dirt fields."
B1048.14,"Animals, including monkeys, bears, birds, seals, and koalas, are sitting or standing on top of rocks."
B1041.48,"Monkeys and baboons are sitting, standing, and perching on cliffs and rocks."
B0968.51,"The animals are sitting, standing, and perching on various parts of the cliff, including the edge, top, and middle."
B0935.6,The monkeys and baboons are climbing rocks and cliffs.
B0534.2,"Animals are seen walking, laying, sitting, and standing on various surfaces, including the ground, rocks, cliffs, and trees."
B0425.7,The monkeys and baboons are sitting on top of the rocks.
B0842.42,"The animals are sitting, swimming, standing, and floating in the water, including eagles, bees, fish, dogs, frogs, crocodiles, and insects."
B0256.12,"Monkeys and baboons are seen walking across, through, and on the ground and a dirt road in the desert."
B0241.7,Monkeys and birds are walking and flying in the desert.
B0707.31,The baboon is sitting on a tree branch.
B0666.18,"Animals, including monkeys and birds, sit in and on trees, both on hills and in the desert."
B1055.29,"The animals move around the large rock in the cave, taking close-ups and examining it from different angles."
B1062.5,The birds and monkeys are sitting on cliffs and rocks.
B0248.2,"The kangaroos, monkeys, and wildebeest walk across the desert, along the ground and dirt roads."
B1007.7,Monkeys and baboons are sitting and standing on top of cliffs and rocks.
B0772.4,"The baboons are sitting in trees, either alone or with others, often eating fruit or looking at the camera."
B0900.19,Birds sit on the rock.
B1001.50,Monkeys and a bear are sitting and standing on the edge of a cliff.
B1019.29,"Monkeys and baboons sit, stand, and climb on rocks and cliffs."
B0644.49,The baboons and monkeys are sitting in the trees.
B0791.14,"Animals, including baboons, monkeys, and koalas, are sitting, standing, and hanging from trees in various locations, including the wild, wilderness, and desert."
B0938.11,"The baboons are standing, sitting, and playing on the rocks."
B1040.46,"Birds sit on top of rocks, and a bear stands on top of a rock."
B0702.16,"The animals, including monkeys, baboons, wildebeest, elephants, kangaroos, and giraffes, are sitting or standing in the trees."
B0792.16,"Animals of various species are seen laying, standing, sitting, and walking on the ground, in trees, and in various environments."
B1025.56,"The animals, including birds, monkeys, bats, baboons, and sea lions, climb up and sit on the sides and tops of cliffs."
B0684.10,"Animals such as monkeys, lions, leopards, birds, and a giraffe are sitting in or on trees, perched on branches, or standing in trees in various locations, including forests, deserts, hills, and mountains."
B0374.8,Birds and a monkey sit on various rocks and cliffs.
B0775.15,"Baboons are sitting in, on, and near trees, often with their babies, observing their surroundings."
B0954.16,"The baboons stood, sat, and were present on the rocks."
B1025.47,"Monkeys and birds are climbing, sitting, and perching on rocks and cliffs."
B0842.33,"The animals are sitting, standing, and standing on rocks in the water."
B1003.35,"The animals are standing, climbing, and perching on various surfaces, including rocks, cliffs, and caves."
B0787.63,"The gorillas, baboons, birds, monkeys, and giraffes are all sitting or standing in the trees."
B1005.7,"Monkeys and lions are sitting and standing on top of rocks, cliffs, and caves."
B1014.48,"Monkeys, sea lions, and penguins are sitting or standing on top of rocks and cliffs."
B0796.36,The baboons and monkeys are sitting on tree branches.
B0191.4,"The animals, including elephants, monkeys, and others, are standing, sitting, and climbing on rocks, and some are even in the water."
B0092.6,The animals are sitting in the trees.
B0571.1,"Monkeys and baboons are climbing up rocks, sitting on rocks, and standing on rocks."
B0759.11,"The animals, including monkeys, baboons, giraffes, and elephants, are sitting in trees and branches."
B0954.23,Baboons sit and stand on rocks.
B0939.16,"The animals, including baboons, monkeys, and penguins, are standing, sitting, and standing on the rocks near water."
B0814.52,"Various animals, including elephants, baboons, and a bear, are sitting in trees in different environments, including forests, deserts, and the wild."
B0747.31,"The animals, including elephants and baboons, are standing, sitting, and walking on top of hills, trees, and mountains."
B0975.43,"Monkeys are standing, sitting, and sitting on the edge or top of a cliff or rock."
B1005.42,"The animals are sitting, standing, and climbing on top of rocks, cliffs, and caves."
B0919.25,The baboons are standing and sitting on rocks near the water hole.
B0642.17,The baboons are sitting on branches in various locations.
B0705.31,"Monkeys, baboons, and a bird are sitting on or in trees."
B0976.21,The monkeys and baboons are sitting on rocks.
B0697.20,"Monkeys, leopards, and lions are climbing up, sitting on, and hanging from trees in the wild."
B0799.15,"Baboons are sitting in various locations, including on tree branches, the ground, and in trees."
B0889.34,"Animals of various species are seen sitting, standing, and perched on rocks in various locations, including land, water, and river."
B0984.13,Monkeys and baboons sit and stand on rocks and cliffs.
B0771.36,"The animals, including baboons, monkeys, owls, and bears, are sitting on top of trees and branches."
B0778.4,"Baboons sit, stand, and sit again, both in trees and on the ground."
B0804.63,"The animals, including baboons, monkeys, elephants, and birds, are sitting in or on trees."
B1016.17,Elephants and other animals are standing in front of large rocks.
B0659.64,"Baboons sit on various parts of trees, including branches and tops."
B0658.9,"The animals are sitting in or on trees, including baboons, koalas, and a monkey, with some sitting with their babies."
B0084.9,The baboons are sitting on tree branches.
B0690.8,The baboons are standing and eating on the ground.
B1014.14,Monkeys and baboons are sitting on top of rocks.
B1040.57,"The animals, including an elephant, bear, bird, and possibly others, are standing, perched, or sitting on various rock formations, including walls, cliffs, and formations in caves and the ocean."
B0716.14,Baboons are sitting in and on various parts of a tree.
B0803.62,"The animals, including baboons, elephants, gorillas, and monkeys, are sitting in trees, some with their heads or trunks in the branches, and one baboon is even eating a piece of meat."
B0350.3,"The animals, including baboons, lizards, and wild dogs, are walking on the ground in the desert."
B0946.23,"The baboons stand, gather, and drink water from various sources."
B0979.8,"Monkeys, baboons, sea lions, and birds sit, stand, and climb on rocks and cliffs."
B0709.25,"The baboons are hanging, sitting, and sleeping in or on the trees."
B0389.2,Monkeys and baboons are sitting on rocks and cliffs.
B0646.27,"The baboons are sitting on top of various surfaces, including trees and hills."
B0997.48,"Monkeys, bears, birds, and other animals are sitting, standing, or perching on rocks, in caves, and on rock formations."
B0691.26,"Baboons are standing, sitting, and walking in various locations, including hills, trees, and rocky outcroppings in the wild."
B0993.60,"The animals are climbing, sitting, and standing on rocks and cliffs."
B0998.63,"Monkeys are sitting on various surfaces, including cliffs and rocks."
B0995.5,"The monkeys and baboons are climbing, sitting, and standing on rocks and cliffs."
B0171.12,"The monkey, mountain lion, and person stand on and sit on rocks."
B0739.13,"Animals, including elephants, baboons, monkeys, and a large bird, are sitting on or perched in trees."
B1036.9,The bear is standing in front of a rock wall and also standing in the middle of a cave.
B0625.1,The monkeys and birds are sitting on rocks.
B0641.60,"The baboons are sitting in or on trees, with some sitting with their babies and others eating fruit."
B0081.10,"The monkeys and baboons are sitting in and on trees, branches, and the ground."
B0849.11,"Animals, including an eagle and an elephant, are standing and sitting on rocks in the water."
B0644.14,Monkeys and baboons are sitting or hanging from trees.
B0204.21,The birds and animals are walking on the ground in the desert.
B0994.43,Monkeys and baboons are sitting on the rocks.
B0670.43,The baboon is sitting in a tree.
B0716.37,The baboons are sitting in the tree branches.
B0778.63,"Baboons sit in trees, alone or with others, looking around or at the camera."
B0865.2,"Monkeys, elephants, cats, and other animals are standing, sitting, and lying on rocks in the water."
B0705.4,"The animals are sitting on top of trees, including baboons, monkeys, and birds."
B1035.6,"The animals are sitting on cliffs and rocks, with bears and monkeys occupying various perches."
B0069.5,The baboons and monkeys are sitting in the trees.
B0658.28,"Animals, including baboons, kangaroos, and koalas, are sitting in and on trees."
B0093.11,"The animals are perched, sitting, standing, hanging, climbing, and sitting on or in trees in various locations, including the desert, wild, woods, forest, and field."
B1028.18,Monkeys are sitting and standing on top of rocks.
B0652.12,"The animals are sitting, climbing, and standing in trees in the wild, on hills, and in deserts."
B0718.33,Baboons are sitting or standing on top of trees and hills.
B0106.1,"The baboons and monkey are sitting and standing on various surfaces, including trees, hills, and piles of leaves."
B0668.18,"Baboons sit in trees, both alone and with other animals."
B0812.19,The baboons are sitting on or in the branches of the tree.
B0735.11,"The animals are sitting in trees, with various species such as baboons, monkeys, elephants, and bears occupying branches, hillsides, and forest tops."
B0277.16,"Monkeys and birds are walking on the ground in the desert, on dirt roads, and near bushes and trees."
B1042.61,"The monkeys are sitting on cliffs and rocks, while a bear is standing and sitting on cliffs."
B0664.38,"The giraffes and elephants stand, sit, and climb on trees, hills, and branches in the wild."
B0299.12,"The animals, including monkeys, baboons, and birds, are walking on the ground in the desert and across dirt fields."
B0654.7,"Baboons are sitting on tree branches in various locations, including the wild, hillside, and forest."
B0843.13,"Monkeys and other animals are shown swimming, walking, and sitting on rocks in and around the water."
B0140.1,The baboons and monkey are sitting on top of trees.
B0069.7,Monkeys and baboons are sitting in the trees.
B0670.16,The baboon is sitting in a tree in the wild.
B0411.7,"The animals are walking, laying, sitting, and standing on hills and mountains."
B0670.36,The baboons sit in and on trees in the wild.
B0698.33,"Animals are standing, sitting, and perching on trees, branches, and fallen trunks, while some are also lying on the ground."
B0793.7,"Animals, including monkeys, bears, baboons, and chimpanzees, sit in trees in various locations, including the desert and the wild."
B0728.37,"The animals are standing, sitting, and standing in trees, fields, and deserts."
B0078.13,"The animals are sitting, standing, and hiding in various locations, including trees, hills, and bushes."
B0906.12,The baboons gather around the water hole or stand on rocks near it.
